Transaction_ID,Customer_ID,Transaction_Date,Product_Clean,Sum of Quantity,Sum of Price,Transaction_Type,Transaction_Status,Record_Status
T99976,C310,2025-02-30,Smartphone,7,310.839,Normal Transaction,Failed,Valid
T99975,C4069,2025-02-30,Tablet,7,-597.0111,Negative Transaction,Completed,Valid
T99973,C2537,2025-02-30,Tablet,811,443.2417,Normal Transaction,Completed,Valid
T99972,C4059,2025-02-30,Laptop,430,422.7364,Normal Transaction,"",Valid
T99971,C1533,2025-02-30,Laptop,597,,Unknown,Pending,Valid
T99970,C153,2023-13-01,Laptop,-6,82.4738,Negative Transaction,Completed,Valid
T99969,C788,2023-13-01,Headphones,434,-76.5503,Negative Transaction,Pending,Valid
T99968,C4121,2020-05-03,Headphones,5,-964.4732,Negative Transaction,Completed,Valid
T99967,C1090,2021-04-14,Coffee Machine,-8,,Unknown,Failed,Valid
T99966,C3748,2023-13-01,Headphones,-7,,Unknown,Pending,Valid
T99965,C077,2025-02-30,Coffee Machine,-1,,Unknown,Failed,Valid
T99964,C4767,2022-09-18,Smartphone,8,,Unknown,Complete,Valid
T99963,C3843,2021-06-04,Laptop,8,492.6724,Normal Transaction,Failed,Valid
T99962,C2754,2025-02-30,Headphones,-3,,Unknown,"",Valid
T99961,C2423,2023-13-01,Headphones,-1,,Unknown,"",Valid
T99960,C3596,2022-02-20,Coffee Machine,10,-164.18,Negative Transaction,Pending,Valid
T9996,C1095,2023-13-01,Tablet,541,-511.8862,Negative Transaction,Completed,Valid
T99959,C3394,2025-02-30,Smartphone,352,-755.8997,Negative Transaction,Completed,Valid
T99958,C3761,2024-07-07,Laptop,10,,Unknown,Completed,Valid
T99957,C998,2023-13-01,Smartphone,399,320.7694,Normal Transaction,Completed,Valid
T99955,C1834,2025-02-30,Laptop,346,-297.6285,Negative Transaction,Complete,Valid
T99954,C1789,2023-13-01,Smartphone,5,885.7816,Normal Transaction,Completed,Valid
T99952,C2291,2024-04-04,Coffee Machine,610,,Unknown,"",Valid
T99951,C649,2025-02-30,Laptop,112,-816.6985,Negative Transaction,Complete,Valid
T99950,C983,2025-02-30,Headphones,-6,,Unknown,Completed,Valid
T99949,C4272,2021-01-23,Headphones,-1,,Unknown,Complete,Valid
T99948,C215,"",Headphones,,-608.6544,Unknown,Completed,Missing Quantity
T99947,C283,2023-06-05,Smartphone,,610.143,Unknown,Complete,Missing Quantity
T99945,C1452,2023-13-01,Laptop,175,,Unknown,Complete,Valid
T99944,C3433,2023-13-01,Smartphone,2,461.3484,Normal Transaction,Completed,Valid
T99943,C221,2025-02-30,Tablet,224,,Unknown,Completed,Valid
T99942,C4498,2020-05-28,Tablet,-8,,Unknown,Completed,Valid
T99940,C4436,2025-02-30,Laptop,560,430.8025,Normal Transaction,Failed,Valid
T9994,C4987,2020-02-19,Headphones,-8,,Unknown,Completed,Valid
T99939,C746,2025-02-30,Laptop,453,,Unknown,Failed,Valid
T99938,C3196,2025-02-30,Tablet,-10,-934.2477,Negative Transaction,Pending,Valid
T99937,"",2025-02-30,Coffee Machine,591,,Unknown,"",Valid
T99936,C1433,2025-02-30,Headphones,8,379.0099,Normal Transaction,"",Valid
T99935,C4297,2025-02-30,Tablet,-2,188.1164,Negative Transaction,Completed,Valid
T99934,C4366,2025-02-30,Headphones,-7,806.9438,Negative Transaction,Failed,Valid
T99933,C801,2025-02-30,Smartphone,-6,,Unknown,Completed,Valid
T99932,C2894,2020-12-05,Headphones,724,368.85,Normal Transaction,Completed,Valid
T99931,C606,2023-13-01,Coffee Machine,-8,-418.9267,Negative Transaction,Completed,Valid
T99930,C3254,2024-10-30,Smartphone,411,-998.8643,Negative Transaction,Completed,Valid
T9993,"",2024-05-06,Laptop,9,994.0894,Normal Transaction,"",Valid
T99929,C2897,2023-13-01,Laptop,960,,Unknown,"",Valid
T99928,"",2025-02-30,Smartphone,-5,-951.5354,Negative Transaction,Complete,Valid
T99927,C1280,"",Headphones,9,,Unknown,"",Valid
T99926,C509,2025-02-30,Headphones,-3,-440.4524,Negative Transaction,Complete,Valid
T99925,C1335,2025-02-30,Headphones,-5,,Unknown,Completed,Valid
T99924,C4594,2023-13-01,Laptop,-6,617.8035,Negative Transaction,"",Valid
T99923,C2452,2025-02-30,Laptop,189,-240.9074,Negative Transaction,Completed,Valid
T99922,C4925,2023-13-01,Laptop,231,,Unknown,Failed,Valid
T99921,C1390,2025-02-30,Laptop,6,943.6405,Normal Transaction,Completed,Valid
T99920,C2235,2025-02-30,Tablet,251,,Unknown,"",Valid
T9992,C745,2020-11-15,Tablet,308,747.9745,Normal Transaction,Completed,Valid
T99919,C2577,"",Smartphone,-1,,Unknown,Failed,Valid
T99918,C2111,2023-13-01,Headphones,5,-948.9579,Negative Transaction,Complete,Valid
T99917,C3131,2025-02-30,Laptop,7,,Unknown,Failed,Valid
T99916,C4792,"",Smartphone,-1,-141.5282,Negative Transaction,Failed,Valid
T99915,C3244,2022-11-16,Smartphone,,-852.5907,Unknown,Complete,Missing Quantity
T99914,C1002,2025-02-30,Tablet,,859.93,Unknown,Pending,Missing Quantity
T99913,C4376,2024-10-30,Tablet,-6,-404.1104,Negative Transaction,"",Valid
T99912,"",2023-02-14,Headphones,-2,98.0502,Negative Transaction,Failed,Valid
T99911,C3126,2025-02-30,Tablet,-1,-405.2252,Negative Transaction,Completed,Valid
T99910,C4164,2023-03-12,Laptop,4,,Unknown,Complete,Valid
T9991,C1745,2023-13-01,Headphones,166,454.7015,Normal Transaction,Completed,Valid
T99909,C1275,2020-11-19,Tablet,7,-627.9495,Negative Transaction,"",Valid
T99908,C1367,2022-07-01,Laptop,2,,Unknown,Completed,Valid
T99907,C2546,2023-13-01,Coffee Machine,805,-944.3833,Negative Transaction,Pending,Valid
T99906,C1031,2025-02-30,Smartphone,7,817.71,Normal Transaction,Pending,Valid
T99905,C667,"",Laptop,856,,Unknown,Completed,Valid
T99904,C4723,2022-03-23,Laptop,-6,419.4255,Negative Transaction,"",Valid
T99903,C3007,2023-13-01,Coffee Machine,10,,Unknown,Completed,Valid
T99902,C4697,2025-02-30,Tablet,-6,678.5636,Negative Transaction,Completed,Valid
T99901,C4072,2020-05-29,Headphones,-3,,Unknown,Pending,Valid
T99900,C384,2023-13-01,Headphones,-6,-560.8354,Negative Transaction,Complete,Valid
T9990,C3999,2025-02-30,Headphones,8,536.6179,Normal Transaction,Pending,Valid
T99899,C1849,2020-11-21,Smartphone,6,703.1027,Normal Transaction,Completed,Valid
T99898,C2043,2021-06-21,Coffee Machine,962,,Unknown,Completed,Valid
T99897,C3929,2023-13-01,Tablet,10,,Unknown,Failed,Valid
T99896,C064,2023-06-20,Smartphone,1,,Unknown,Failed,Valid
T99895,C880,2023-13-01,Coffee Machine,,-496.4729,Unknown,Failed,Missing Quantity
T99894,C2696,2023-13-01,Laptop,7,-298.9257,Negative Transaction,Completed,Valid
T99893,C1824,2023-13-01,Smartphone,7,-823.6339,Negative Transaction,Pending,Valid
T99892,C1094,2023-13-01,Smartphone,-8,530.7853,Negative Transaction,Completed,Valid
T99891,C1565,2025-02-30,Tablet,109,-899.4347,Negative Transaction,Complete,Valid
T99890,C2043,2023-13-01,Smartphone,-1,430.0159,Negative Transaction,Completed,Valid
T99889,C539,2023-13-01,Coffee Machine,-2,,Unknown,Pending,Valid
T99888,C4885,2020-04-19,Smartphone,,851.7376,Unknown,"",Missing Quantity
T99887,C1331,2023-13-01,Laptop,398,-789.6556,Negative Transaction,Completed,Valid
T99886,C2508,"",Smartphone,-7,-513.001,Negative Transaction,"",Valid
T99885,C1756,2023-13-01,Tablet,4,,Unknown,"",Valid
T99883,C1518,"",Smartphone,-8,630.5397,Negative Transaction,"",Valid
T99882,C2001,2025-02-30,Laptop,8,416.7297,Normal Transaction,Failed,Valid
T99881,C1122,2025-02-30,Coffee Machine,10,-490.6942,Negative Transaction,Completed,Valid
T99880,C4517,2021-01-22,Smartphone,149,-733.6609,Negative Transaction,Pending,Valid
T9988,C2769,2025-02-30,Smartphone,,-929.069,Unknown,Complete,Missing Quantity
T99879,C1934,"",Smartphone,10,326.5361,Normal Transaction,"",Valid
T99878,C794,2023-13-01,Smartphone,432,-544.6493,Negative Transaction,Complete,Valid
T99877,C3496,2024-07-16,Headphones,855,,Unknown,"",Valid
T99876,C3694,2024-05-07,Laptop,10,229.56,Normal Transaction,Pending,Valid
T99875,C2413,2025-02-30,Laptop,209,627.6604,Normal Transaction,"",Valid
T99874,C4426,2024-01-05,Coffee Machine,-7,861.16,Negative Transaction,Complete,Valid
T99873,C726,2020-08-03,Smartphone,365,989.7322,Normal Transaction,Complete,Valid
T99872,C3111,2025-02-30,Laptop,7,923.2696,Normal Transaction,Completed,Valid
T99871,C1096,2023-13-01,Smartphone,286,-418.1068,Negative Transaction,Completed,Valid
T99870,C1542,2023-13-01,Headphones,9,315.8257,Normal Transaction,Completed,Valid
T9987,C1490,"",Coffee Machine,7,509.7552,Normal Transaction,Complete,Valid
T99869,C393,2023-13-01,Tablet,879,442.1402,Normal Transaction,Failed,Valid
T99868,C1909,2025-02-30,Coffee Machine,-5,101.5435,Negative Transaction,Failed,Valid
T99866,C940,2025-02-30,Tablet,115,,Unknown,Completed,Valid
T99865,C4463,2023-13-01,Laptop,5,596.2,Normal Transaction,Completed,Valid
T99864,C2913,2023-13-01,Laptop,2,-259.8144,Negative Transaction,Pending,Valid
T99863,C2605,2023-13-01,Laptop,7,870.6995,Normal Transaction,Completed,Valid
T99862,"",2025-02-30,Smartphone,-8,160.6514,Negative Transaction,"",Valid
T99861,"",2025-02-30,Tablet,3,,Unknown,Completed,Valid
T99860,C4630,"",Coffee Machine,-8,,Unknown,Pending,Valid
T9986,C2885,2023-13-01,Smartphone,1,,Unknown,"",Valid
T99859,"",2023-03-12,Tablet,5,,Unknown,"",Valid
T99858,C4483,2023-13-01,Tablet,-4,,Unknown,"",Valid
T99857,C2213,"",Smartphone,-3,629.431,Negative Transaction,Failed,Valid
T99856,C1394,"",Smartphone,2,,Unknown,Pending,Valid
T99855,C4326,2020-05-05,Laptop,8,-995.8593,Negative Transaction,Completed,Valid
T99854,"",2025-02-30,Smartphone,311,,Unknown,Failed,Valid
T99853,C3120,2021-12-06,Laptop,-3,,Unknown,Pending,Valid
T99852,C1234,2025-02-30,Tablet,9,,Unknown,Pending,Valid
T99851,C2881,2025-02-30,Coffee Machine,957,-988.8839,Negative Transaction,"",Valid
T99850,C4399,2022-12-07,Coffee Machine,542,802.8472,Normal Transaction,Completed,Valid
T9985,C4653,2025-02-30,Headphones,7,-531.7167,Negative Transaction,Completed,Valid
T99849,C4841,2023-13-01,Coffee Machine,538,-469.06,Negative Transaction,Completed,Valid
T99848,C2852,2025-02-30,Tablet,-8,863.5204,Negative Transaction,"",Valid
T99847,C4107,2023-13-01,Headphones,-3,-321.5544,Negative Transaction,Completed,Valid
T99846,C2134,2020-05-28,Tablet,872,-885.51,Negative Transaction,Complete,Valid
T99845,C3795,2022-09-05,Coffee Machine,910,,Unknown,Pending,Valid
T99844,C2176,2025-02-30,Smartphone,1,,Unknown,Failed,Valid
T99843,C3092,2025-02-30,Smartphone,-1,878.2352,Negative Transaction,Complete,Valid
T99842,C559,2023-13-01,Headphones,568,,Unknown,Complete,Valid
T99841,C4824,2023-13-01,Headphones,4,-586.2047,Negative Transaction,"",Valid
T99840,C2822,2023-13-01,Coffee Machine,5,91.6756,Normal Transaction,"",Valid
T9984,C635,2023-13-01,Smartphone,5,,Unknown,Failed,Valid
T99839,C3579,2023-13-01,Headphones,625,,Unknown,Completed,Valid
T99838,C1828,2025-01-23,Coffee Machine,-6,-618.2166,Negative Transaction,Failed,Valid
T99837,C2889,2025-02-30,Headphones,9,,Unknown,Failed,Valid
T99836,C008,2025-02-30,Headphones,-1,-877.8315,Negative Transaction,Failed,Valid
T99835,C4179,"",Smartphone,1,,Unknown,Completed,Valid
T99834,C2051,2025-02-30,Headphones,-4,593.7727,Negative Transaction,"",Valid
T99833,C1056,"",Laptop,-4,,Unknown,Pending,Valid
T99832,C1254,2023-13-01,Laptop,6,,Unknown,Pending,Valid
T99831,C3116,2023-02-23,Tablet,1,381.4728,Normal Transaction,Pending,Valid
T99829,C4504,2025-02-30,Laptop,830,,Unknown,Complete,Valid
T99828,C3843,2023-05-02,Headphones,1,-276.7778,Negative Transaction,Failed,Valid
T99827,C1994,2023-13-01,Coffee Machine,-10,-442.0641,Negative Transaction,Pending,Valid
T99826,C1617,2022-05-01,Tablet,10,-473.24,Negative Transaction,Completed,Valid
T99825,C875,2023-13-01,Smartphone,6,932.2493,Normal Transaction,Completed,Valid
T99824,C3296,2023-13-01,Coffee Machine,-5,510.8013,Negative Transaction,Complete,Valid
T99823,C1441,2025-02-30,Smartphone,10,-237.0042,Negative Transaction,Completed,Valid
T99822,C1144,2024-02-17,Laptop,140,643.822,Normal Transaction,Completed,Valid
T99821,C3057,2025-02-30,Smartphone,877,946.4927,Normal Transaction,Failed,Valid
T99820,C4122,2025-02-30,Tablet,-2,,Unknown,Complete,Valid
T9982,C3254,2023-04-06,Headphones,2,385.47,Normal Transaction,Completed,Valid
T99819,C4893,2024-06-08,Headphones,-1,,Unknown,Failed,Valid
T99818,C2450,2023-13-01,Smartphone,5,537.82,Normal Transaction,Completed,Valid
T99817,C4717,2023-13-01,Smartphone,-9,,Unknown,Completed,Valid
T99816,C4597,2023-12-06,Smartphone,-6,324.852,Negative Transaction,Failed,Valid
T99815,C3456,2023-04-01,Smartphone,-10,-81.1124,Negative Transaction,Complete,Valid
T99814,C2240,2025-02-30,Coffee Machine,556,,Unknown,Pending,Valid
T99813,C3314,2024-12-17,Headphones,526,-846.9146,Negative Transaction,Pending,Valid
T99812,C1426,2023-13-01,Coffee Machine,-4,-647.5888,Negative Transaction,Pending,Valid
T99811,C4164,2023-13-01,Tablet,587,-123.951,Negative Transaction,Failed,Valid
T99810,C3301,2021-05-07,Smartphone,-6,538.4256,Negative Transaction,Complete,Valid
T9981,C2263,2023-13-01,Tablet,-2,691.7357,Negative Transaction,Completed,Valid
T99809,C2355,2025-02-30,Smartphone,,611.7803,Unknown,Completed,Missing Quantity
T99808,C369,2023-13-01,Coffee Machine,9,161.4647,Normal Transaction,Completed,Valid
T99807,C626,2025-02-30,Tablet,-3,-240.4229,Negative Transaction,Complete,Valid
T99806,C416,2025-02-30,Headphones,5,,Unknown,Completed,Valid
T99805,C1951,"",Tablet,-9,,Unknown,Complete,Valid
T99804,C3853,2023-13-01,Coffee Machine,-5,-67.4415,Negative Transaction,Completed,Valid
T99803,C4188,2025-02-30,Coffee Machine,8,,Unknown,Complete,Valid
T99802,C268,2025-02-30,Laptop,3,-267.4458,Negative Transaction,Pending,Valid
T99801,C547,2021-09-11,Tablet,2,,Unknown,Completed,Valid
T99800,"",2023-13-01,Coffee Machine,557,588.5355,Normal Transaction,Pending,Valid
T9980,C1865,"",Tablet,163,-414.3829,Negative Transaction,Completed,Valid
T99799,C4335,2021-12-18,Laptop,5,,Unknown,Completed,Valid
T99798,C2914,2023-13-01,Coffee Machine,-9,-174.27,Negative Transaction,Complete,Valid
T99797,C1916,2020-09-09,Headphones,6,-653.3828,Negative Transaction,Completed,Valid
T99796,C2147,2023-11-20,Tablet,144,111.3866,Normal Transaction,Completed,Valid
T99795,C2328,2023-13-01,Headphones,3,941.7,Normal Transaction,Pending,Valid
T99794,C1422,2025-02-30,Headphones,5,651.4323,Normal Transaction,Completed,Valid
T99793,C2245,2023-13-01,Tablet,8,,Unknown,"",Valid
T99792,C2490,2021-12-30,Tablet,-6,,Unknown,Complete,Valid
T99791,C2969,2022-05-08,Coffee Machine,10,,Unknown,Pending,Valid
T99790,C244,2020-06-11,Coffee Machine,387,,Unknown,Completed,Valid
T9979,C2931,2023-10-27,Headphones,2,524.2061,Normal Transaction,"",Valid
T99789,C3814,2020-03-21,Laptop,452,-584.031,Negative Transaction,"",Valid
T99788,C3597,2024-04-08,Tablet,-8,,Unknown,Complete,Valid
T99786,"",2022-06-24,Tablet,4,,Unknown,"",Valid
T99785,C2137,2023-13-01,Headphones,-6,-538.95,Negative Transaction,Completed,Valid
T99784,C4333,2020-06-02,Headphones,6,852.7912,Normal Transaction,Complete,Valid
T99783,C3894,2025-02-30,Coffee Machine,1,521.6463,Normal Transaction,Complete,Valid
T99782,C2695,2023-13-01,Headphones,7,-387.0272,Negative Transaction,Completed,Valid
T99781,C2269,2025-02-30,Smartphone,4,-284.2471,Negative Transaction,"",Valid
T9978,C4794,2020-01-09,Tablet,521,-582.8431,Negative Transaction,Completed,Valid
T99779,C4137,2023-13-01,Tablet,528,,Unknown,Complete,Valid
T99778,C1694,2023-13-01,Smartphone,248,936.7218,Normal Transaction,Complete,Valid
T99777,C1739,2025-02-30,Smartphone,-5,-769.1838,Negative Transaction,Pending,Valid
T99776,C1554,"",Coffee Machine,3,,Unknown,Completed,Valid
T99775,C2475,2023-13-01,Laptop,6,,Unknown,Complete,Valid
T99774,"",2025-02-30,Smartphone,-2,786.9456,Negative Transaction,Complete,Valid
T99773,C2483,2023-13-01,Smartphone,,315.3637,Unknown,Failed,Missing Quantity
T99772,C1659,2021-08-24,Laptop,1,-126.7538,Negative Transaction,Completed,Valid
T99770,C2042,2024-05-03,Headphones,10,788.9224,Normal Transaction,Pending,Valid
T9977,C3322,2025-02-30,Coffee Machine,-5,,Unknown,Completed,Valid
T99769,C1740,2025-02-30,Coffee Machine,620,986.048,Normal Transaction,Completed,Valid
T99768,C4422,2023-13-01,Smartphone,-8,146.86,Negative Transaction,Complete,Valid
T99767,C564,2020-08-29,Smartphone,709,-57.859,Negative Transaction,Failed,Valid
T99766,C387,2021-11-17,Smartphone,,226.0696,Unknown,Completed,Missing Quantity
T99765,C4234,2023-13-01,Smartphone,-5,548.9633,Negative Transaction,Completed,Valid
T99764,C3540,2023-12-06,Laptop,6,-847.4602,Negative Transaction,Completed,Valid
T99763,C3337,2023-13-01,Coffee Machine,3,,Unknown,Failed,Valid
T99761,C3943,2023-13-01,Tablet,2,842.25,Normal Transaction,Complete,Valid
T99760,C779,2020-01-03,Headphones,1,145.7162,Normal Transaction,Completed,Valid
T9976,C420,2023-13-01,Smartphone,9,,Unknown,Completed,Valid
T99759,C1946,2025-02-30,Tablet,1,-405.8035,Negative Transaction,Failed,Valid
T99758,C3339,2025-02-30,Laptop,9,,Unknown,Complete,Valid
T99757,C2853,2023-07-28,Tablet,-1,-467.9753,Negative Transaction,"",Valid
T99756,C3951,2023-13-01,Smartphone,-7,,Unknown,Completed,Valid
T99755,C1361,2023-13-01,Headphones,139,-894.768,Negative Transaction,Pending,Valid
T99753,C4508,2023-13-01,Tablet,-3,287.8169,Negative Transaction,Complete,Valid
T99752,C4181,2023-06-25,Coffee Machine,8,575.5101,Normal Transaction,Completed,Valid
T99751,C4969,2020-01-24,Headphones,7,-689.9897,Negative Transaction,Complete,Valid
T99750,C248,2025-02-30,Coffee Machine,-8,-491.0645,Negative Transaction,Completed,Valid
T9975,C2246,2023-13-01,Tablet,,-318.7986,Unknown,Completed,Missing Quantity
T99749,C940,"",Headphones,2,,Unknown,Complete,Valid
T99748,C3823,2024-02-16,Coffee Machine,-5,389.7315,Negative Transaction,Pending,Valid
T99747,C3247,2023-13-01,Headphones,,-201.3214,Unknown,Failed,Missing Quantity
T99746,C1697,2023-13-01,Tablet,-5,-555.4538,Negative Transaction,Failed,Valid
T99745,C576,2022-06-20,Headphones,,979.4067,Unknown,Pending,Missing Quantity
T99744,C2193,2025-02-30,Coffee Machine,-6,,Unknown,Pending,Valid
T99743,C2545,2023-13-01,Headphones,5,320.7038,Normal Transaction,Complete,Valid
T99742,C004,2023-13-01,Tablet,-6,,Unknown,Failed,Valid
T99741,C3071,2021-12-07,Smartphone,477,-360.98,Negative Transaction,Pending,Valid
T99740,C2580,2023-13-01,Smartphone,-1,,Unknown,Failed,Valid
T9974,C1703,2025-02-30,Coffee Machine,251,-825.92,Negative Transaction,Failed,Valid
T99739,C1928,2022-06-10,Laptop,-5,,Unknown,Completed,Valid
T99738,C2122,2023-13-01,Laptop,9,,Unknown,Completed,Valid
T99737,C4906,2025-02-30,Smartphone,,701.0563,Unknown,"",Missing Quantity
T99736,C3271,2023-13-01,Laptop,9,681.546,Normal Transaction,"",Valid
T99735,C4141,2023-13-01,Coffee Machine,4,784.1975,Normal Transaction,Failed,Valid
T99734,C2518,2025-02-30,Smartphone,,931.3468,Unknown,Completed,Missing Quantity
T99733,C3682,2025-02-30,Coffee Machine,4,,Unknown,"",Valid
T99732,C3296,2023-13-01,Headphones,10,,Unknown,Complete,Valid
T99731,C2630,2025-02-30,Coffee Machine,335,,Unknown,Complete,Valid
T99730,C1394,2023-11-04,Smartphone,9,947.9342,Normal Transaction,"",Valid
T9973,C395,2025-02-30,Tablet,-6,,Unknown,"",Valid
T99729,C3774,2025-02-30,Laptop,241,,Unknown,Complete,Valid
T99728,C3205,2023-08-27,Headphones,-5,,Unknown,"",Valid
T99727,C129,2025-02-30,Tablet,821,917.1958,Normal Transaction,Completed,Valid
T99726,C3929,2025-01-04,Laptop,-8,-183.0846,Negative Transaction,Completed,Valid
T99725,C4135,2025-02-30,Laptop,-7,-726.0675,Negative Transaction,Failed,Valid
T99724,C649,"",Laptop,230,,Unknown,Failed,Valid
T99723,C4621,2023-13-01,Headphones,4,-857.95,Negative Transaction,"",Valid
T99722,C227,2025-02-30,Coffee Machine,863,,Unknown,"",Valid
T99721,C3500,2025-02-30,Coffee Machine,774,,Unknown,Failed,Valid
T99720,C619,2023-06-15,Smartphone,207,175.6674,Normal Transaction,Completed,Valid
T9972,C152,2024-05-31,Laptop,6,-517.7081,Negative Transaction,Complete,Valid
T99719,C2038,2024-04-07,Laptop,-3,668.6529,Negative Transaction,Failed,Valid
T99718,C2655,2023-13-01,Smartphone,258,,Unknown,Complete,Valid
T99717,C1146,2025-02-30,Smartphone,541,,Unknown,Complete,Valid
T99716,C3916,2025-02-30,Headphones,663,,Unknown,"",Valid
T99715,C2523,2025-02-30,Headphones,243,-272.53,Negative Transaction,Failed,Valid
T99714,"",2023-13-01,Headphones,197,,Unknown,Completed,Valid
T99713,C3366,2025-02-30,Tablet,10,299.0982,Normal Transaction,"",Valid
T99712,C1883,2025-02-30,Headphones,-8,,Unknown,Completed,Valid
T99711,C3566,2023-13-01,Headphones,5,,Unknown,Completed,Valid
T99710,C4035,2023-13-01,Coffee Machine,-7,378.7595,Negative Transaction,Failed,Valid
T9971,C877,2025-02-30,Smartphone,1,-77.077,Negative Transaction,Completed,Valid
T99707,C4360,2023-03-08,Headphones,867,-197.5731,Negative Transaction,Complete,Valid
T99706,C1755,2023-13-01,Headphones,297,,Unknown,Failed,Valid
T99705,C309,2025-02-30,Laptop,-6,100.4838,Negative Transaction,Complete,Valid
T99704,C4314,2023-13-01,Tablet,2,,Unknown,Completed,Valid
T99703,C230,2023-12-01,Smartphone,10,,Unknown,"",Valid
T99702,C813,2021-05-25,Coffee Machine,805,-945.5145,Negative Transaction,Complete,Valid
T99701,C4254,2025-02-30,Coffee Machine,202,,Unknown,"",Valid
T99700,C3243,2023-13-01,Coffee Machine,492,-635.8091,Negative Transaction,Pending,Valid
T9970,C2961,2022-10-19,Smartphone,887,525.4739,Normal Transaction,Completed,Valid
T99699,C582,2023-13-01,Tablet,-8,830.89,Negative Transaction,Complete,Valid
T99697,"",2025-02-30,Smartphone,2,-282.0595,Negative Transaction,Completed,Valid
T99695,C3980,2023-13-01,Smartphone,104,819.7297,Normal Transaction,Completed,Valid
T99694,C4444,2025-02-30,Tablet,367,-786.0673,Negative Transaction,Failed,Valid
T99693,C2925,2025-02-30,Smartphone,493,,Unknown,Complete,Valid
T99691,C3326,2022-01-28,Tablet,950,-621.6909,Negative Transaction,Failed,Valid
T99690,C3569,2025-02-30,Tablet,-9,-464.4363,Negative Transaction,Completed,Valid
T9969,C1120,2023-13-01,Smartphone,4,,Unknown,Completed,Valid
T99689,C097,2023-13-01,Headphones,-9,,Unknown,"",Valid
T99688,C2083,2022-04-12,Tablet,9,-616.4175,Negative Transaction,Completed,Valid
T99687,C010,2021-08-18,Coffee Machine,5,,Unknown,Failed,Valid
T99686,C3108,2025-02-30,Headphones,-2,-114.9458,Negative Transaction,Failed,Valid
T99685,C4724,2020-10-12,Coffee Machine,-2,536.0734,Negative Transaction,Completed,Valid
T99684,C1133,2023-13-01,Tablet,-2,258.7679,Negative Transaction,"",Valid
T99683,C526,2023-13-01,Laptop,808,-404.9785,Negative Transaction,Completed,Valid
T99682,C954,2023-13-01,Laptop,-4,-867.4514,Negative Transaction,Failed,Valid
T99681,"",2025-02-30,Laptop,-5,744.71,Negative Transaction,Pending,Valid
T99680,C3024,2023-09-09,Tablet,-9,-986.2214,Negative Transaction,Completed,Valid
T9968,C2401,2023-13-01,Smartphone,-4,470.1659,Negative Transaction,Complete,Valid
T99679,C3306,2024-01-05,Smartphone,8,,Unknown,Complete,Valid
T99678,C1826,2022-09-18,Coffee Machine,582,124.4406,Normal Transaction,Completed,Valid
T99677,C2570,2023-13-01,Laptop,-5,915.6659,Negative Transaction,"",Valid
T99674,C2105,2023-13-01,Headphones,212,-804.4728,Negative Transaction,Completed,Valid
T99673,C3498,2023-13-01,Coffee Machine,2,109.5387,Normal Transaction,Pending,Valid
T99672,"",2023-13-01,Headphones,,-781.845,Unknown,Complete,Missing Quantity
T99671,C3246,2023-13-01,Smartphone,-4,-691.5784,Negative Transaction,"",Valid
T99670,C281,2025-02-30,Coffee Machine,4,,Unknown,Pending,Valid
T9967,C2069,2021-08-28,Coffee Machine,-9,-142.673,Negative Transaction,Completed,Valid
T99669,"",2025-02-30,Laptop,4,821.7993,Normal Transaction,Failed,Valid
